Character,Draft Pick,BAT AVG,Hits,RBI,HR,SPECIAL,SB,ERA,K,BIG PLAYS,TOTAL MVPS,# OF GAMES PLAYED
Birdo ,0.53,0.459,2.08,0.46,0,2.23,0,,0,1.62,1,13
Bowser,0.53,0.433,1.85,2.38,1.15,0,0,26.51,0,0.38,3,13
Petey ,1.08,0.358,1.69,2.15,1,0,0,0.00,0,0.03,4,13
DK ,1.92,0.281,1.31,1,0.46,0.08,0,,0,0.31,0,13
Yoshi ,2.77,0.576,2.77,1.08,0,2.23,0.08,,0,1.23,1,13
Boo ,2.92,0.397,1.92,0.69,0,0,0.15,11.41,1.46,0.15,1,13
Bro ,4.69,0.335,1.47,0.85,0.54,0,0,,0,0.31,0,13
Wario ,6.38,0.259,1.15,0.92,0.23,0.08,0,,0,0.08,1,13
KBOO,6.85,0.273,1.08,0.85,0.23,0,0,8.35,1,0.08,0,13
WaluigI,7.62,0.396,1.77,0.38,0,0.46,0,7.39,1.8,0.08,0,13
Diddy ,8.62,0.365,1.62,0.38,0,1.08,0.08,,0,0.77,0,13
Magic ,9.23,0.322,1.46,0.38,0.08,0.031,0,,0,0.85,0,13
Paratroo,12.46,0.297,1.23,0.31,0,0.23,0,,0,0.23,0,13
